epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6542,1.62743,7.80616,0.02866,0,0,0,0,1.54406,9.43715,0.03157,0.00026,0.00026,0.00026
2,90.161,1.39417,6.60056,0.02107,0,0,0,0,1.56075,9.34263,0.03451,0.000534654,0.000534654,0.000534654
3,95.418,1.36187,5.6423,0.02131,0,0,0,0,1.50052,9.29221,0.03374,0.000803764,0.000803764,0.000803764
4,100.732,1.39077,4.98987,0.0218,0,0,0,0,1.59588,8.95531,0.0364,0.00106733,0.00106733,0.00106733
5,105.952,1.53625,4.59379,0.02369,0,0,0,0,1.73209,7.7388,0.04206,0.00132535,0.00132535,0.00132535
6,111.199,1.61385,3.83894,0.0237,0,0,0,0,1.82216,6.33128,0.04265,0.00157783,0.00157783,0.00157783
7,116.457,1.59257,3.27633,0.02505,0.33333,0.00559,0.0025,0.0015,2.22937,6.98887,0.05717,0.00182476,0.00182476,0.00182476
8,121.857,1.63669,2.91948,0.02548,0.35135,0.07263,0.04306,0.01219,2.15803,3.93097,0.05409,0.0018614,0.0018614,0.0018614
9,127.175,1.69586,2.66871,0.02598,0.26562,0.18994,0.07431,0.018,2.15082,4.33511,0.05677,0.0018416,0.0018416,0.0018416
10,132.511,1.65261,2.5656,0.02581,0.41379,0.06704,0.04873,0.01857,1.97082,2.45895,0.04798,0.0018218,0.0018218,0.0018218
11,137.756,1.64009,2.44325,0.02695,0.36207,0.23464,0.14176,0.0408,1.97666,2.8726,0.05016,0.001802,0.001802,0.001802
12,142.94,1.60397,2.41986,0.02575,0.4416,0.35345,0.21662,0.07455,1.9225,2.40106,0.04569,0.0017822,0.0017822,0.0017822
13,148.254,1.67615,2.35718,0.02616,0.40222,0.21788,0.13446,0.0516,2.02699,2.69527,0.04801,0.0017624,0.0017624,0.0017624
14,153.555,1.62013,2.20971,0.02601,0.68224,0.40782,0.34344,0.11639,2.03002,1.99817,0.05144,0.0017426,0.0017426,0.0017426
15,158.872,1.69963,2.12179,0.02862,0.75342,0.30726,0.27321,0.10534,1.99926,1.98064,0.04878,0.0017228,0.0017228,0.0017228
16,163.901,1.59244,2.19243,0.02583,0.46667,0.07821,0.04641,0.01639,1.89477,2.55252,0.04429,0.001703,0.001703,0.001703
17,168.965,1.63857,2.09913,0.02777,0.42647,0.16201,0.11571,0.05211,1.87967,2.42933,0.04616,0.0016832,0.0016832,0.0016832
18,174.082,1.65675,2.07803,0.02807,0.55844,0.24022,0.16419,0.06277,1.73209,2.11009,0.04015,0.0016634,0.0016634,0.0016634
19,179.24,1.52713,2.08374,0.02564,0.70909,0.21788,0.20142,0.07911,1.96521,1.81916,0.04717,0.0016436,0.0016436,0.0016436
