epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3766,1.63897,7.8267,0.02916,0,0,0,0,1.57582,9.51571,0.03384,0.00026,0.00026,0.00026
2,83.7184,1.38227,6.59946,0.02056,0,0,0,0,2.08906,10.543,0.05395,0.000534654,0.000534654,0.000534654
3,88.7849,1.36172,5.69245,0.02061,0,0,0,0,1.82707,9.89245,0.04383,0.000803764,0.000803764,0.000803764
4,93.8677,1.3867,5.01957,0.02114,1,0.00559,0.005,0.0035,1.95691,9.47629,0.04566,0.00106733,0.00106733,0.00106733
5,98.9496,1.54887,4.58229,0.02328,0.66667,0.01117,0.01167,0.0035,2.20026,8.47076,0.05585,0.00132535,0.00132535,0.00132535
6,103.995,1.60855,3.83238,0.02379,0,0,0,0,1.99458,5.1921,0.0473,0.00157783,0.00157783,0.00157783
7,108.893,1.55233,3.32304,0.0241,0.25275,0.12849,0.04793,0.01211,2.04422,5.06932,0.05053,0.00182476,0.00182476,0.00182476
8,114.236,1.62076,3.00323,0.02481,0.34211,0.2905,0.17682,0.04724,1.93092,3.36144,0.04784,0.0018614,0.0018614,0.0018614
9,119.304,1.62044,2.74877,0.02474,0.33962,0.10056,0.04739,0.0191,2.05635,2.74286,0.05155,0.0018416,0.0018416,0.0018416
10,124.309,1.68103,2.65795,0.02696,0.25532,0.06704,0.044,0.01278,2.5453,3.75934,0.05956,0.0018218,0.0018218,0.0018218
11,129.2,1.60603,2.52686,0.02602,0.40476,0.09497,0.05522,0.02505,2.23768,2.7651,0.05846,0.001802,0.001802,0.001802
12,134.112,1.64202,2.36312,0.02694,0.4,0.20112,0.10981,0.03116,2.2118,2.82965,0.05268,0.0017822,0.0017822,0.0017822
13,139.279,1.63616,2.38543,0.02616,0.38324,0.2673,0.18385,0.06197,2.04489,2.77939,0.05096,0.0017624,0.0017624,0.0017624
14,144.391,1.58735,2.34023,0.02581,0.4878,0.11173,0.08154,0.02429,2.43139,3.0348,0.06166,0.0017426,0.0017426,0.0017426
15,149.263,1.63575,2.18949,0.02717,0.61194,0.22905,0.17001,0.05297,1.80466,2.56576,0.04276,0.0017228,0.0017228,0.0017228
16,154.172,1.59995,2.22024,0.02592,0.53448,0.34637,0.23041,0.08365,1.93386,2.29507,0.04612,0.001703,0.001703,0.001703
17,159.218,1.57054,2.14799,0.02613,0.48101,0.21229,0.14647,0.04846,1.87421,2.31295,0.04389,0.0016832,0.0016832,0.0016832
18,164.102,1.61364,2.16296,0.02696,0.54167,0.2905,0.21962,0.07428,1.91562,2.44073,0.04521,0.0016634,0.0016634,0.0016634
19,169.207,1.61356,2.0989,0.02676,0.58427,0.2905,0.22187,0.08501,2.03805,2.1457,0.05247,0.0016436,0.0016436,0.0016436
20,174.296,1.55363,2.03757,0.02452,0.40147,0.31285,0.21925,0.08962,1.89825,2.31165,0.04494,0.0016238,0.0016238,0.0016238
21,179.373,1.6464,2.01794,0.0259,0.57009,0.34078,0.26891,0.09483,1.92932,2.10694,0.04698,0.001604,0.001604,0.001604
22,184.601,1.51825,1.99196,0.02371,0.61053,0.32402,0.24551,0.09031,1.79565,2.02336,0.04141,0.0015842,0.0015842,0.0015842
23,189.545,1.57097,2.0337,0.02596,0.55696,0.49162,0.37773,0.14151,1.80889,1.98384,0.04183,0.0015644,0.0015644,0.0015644
24,194.684,1.53463,2.01377,0.02376,0.35883,0.37989,0.22681,0.0708,1.94696,2.69746,0.0473,0.0015446,0.0015446,0.0015446
25,199.822,1.57207,1.91385,0.02502,0.52381,0.30726,0.2117,0.0918,1.72342,2.15486,0.04049,0.0015248,0.0015248,0.0015248
26,204.854,1.57314,1.86767,0.02582,0.43747,0.5419,0.33211,0.12514,1.90238,1.96476,0.04463,0.001505,0.001505,0.001505
27,209.86,1.51254,1.93787,0.02343,0.64655,0.41899,0.33863,0.13062,1.81985,1.87633,0.04272,0.0014852,0.0014852,0.0014852
28,214.818,1.49824,1.92427,0.02396,0.49444,0.49721,0.36351,0.15173,1.79161,2.09878,0.04161,0.0014654,0.0014654,0.0014654
29,219.936,1.55733,1.78817,0.02417,0.50265,0.53073,0.38402,0.16235,1.90157,1.87457,0.04536,0.0014456,0.0014456,0.0014456
30,225.291,1.57427,1.80774,0.02496,0.58228,0.51397,0.41065,0.1685,1.90252,1.69689,0.04652,0.0014258,0.0014258,0.0014258
31,230.402,1.4823,1.65777,0.02326,0.63448,0.51397,0.42047,0.16254,1.80852,1.8891,0.04126,0.001406,0.001406,0.001406
32,235.33,1.51979,1.66496,0.02429,0.5651,0.51397,0.45054,0.21712,1.82895,1.57897,0.04149,0.0013862,0.0013862,0.0013862
33,240.454,1.4718,1.65284,0.02339,0.63121,0.49721,0.42489,0.17794,1.75142,1.7282,0.04013,0.0013664,0.0013664,0.0013664
34,245.431,1.51403,1.74382,0.02318,0.53503,0.46927,0.31705,0.14317,1.74727,1.91734,0.03917,0.0013466,0.0013466,0.0013466
35,250.315,1.5407,1.76209,0.02446,0.63415,0.43575,0.35385,0.15904,1.6546,1.89604,0.03751,0.0013268,0.0013268,0.0013268
36,255.429,1.49716,1.67236,0.02399,0.59639,0.55307,0.45864,0.19524,1.71581,1.71159,0.03979,0.001307,0.001307,0.001307
37,260.41,1.45805,1.57662,0.02293,0.59309,0.63128,0.53205,0.23609,1.70275,1.56382,0.03818,0.0012872,0.0012872,0.0012872
38,265.494,1.42405,1.64788,0.02297,0.61111,0.43017,0.37174,0.17746,1.68199,1.87981,0.03923,0.0012674,0.0012674,0.0012674
39,270.397,1.43324,1.58026,0.0236,0.57554,0.44693,0.36148,0.15921,1.82085,1.98327,0.04198,0.0012476,0.0012476,0.0012476
40,275.312,1.46574,1.63055,0.02364,0.50855,0.6648,0.53363,0.21908,1.82591,1.66749,0.0416,0.0012278,0.0012278,0.0012278
41,280.443,1.47924,1.61669,0.02287,0.74396,0.47077,0.50062,0.1861,1.9629,1.89235,0.04559,0.001208,0.001208,0.001208
42,285.384,1.5042,1.5944,0.02349,0.69737,0.59218,0.52629,0.21852,1.85585,1.55894,0.04305,0.0011882,0.0011882,0.0011882
