epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8804,1.61724,7.25557,0.02637,0,0,0,0,1.47749,10.0847,0.03197,0.00052,0.00052,0.00052
2,47.5406,1.39544,5.56955,0.02165,0,0,0,0,1.68373,9.85161,0.03766,0.00104951,0.00104951,0.00104951
3,52.7265,1.50965,4.56064,0.0232,0,0,0,0,1.62124,8.21547,0.03644,0.00156832,0.00156832,0.00156832
4,57.9277,1.56548,3.81472,0.02373,0,0,0,0,2.07701,5.23277,0.04868,0.0019406,0.0019406,0.0019406
5,63.1191,1.71447,3.22151,0.0281,0,0,0,0,1.94382,3.51772,0.04634,0.0019208,0.0019208,0.0019208
6,68.3211,1.65759,2.97662,0.0272,0.5,0.00559,0.005,0.002,1.97719,3.07834,0.04778,0.001901,0.001901,0.001901
7,73.651,1.64977,2.69054,0.02675,0.33333,0.00559,0.0025,0.00175,1.96067,3.52149,0.04805,0.0018812,0.0018812,0.0018812
8,78.8018,1.60123,2.554,0.02675,0.52941,0.05028,0.04517,0.01577,1.8317,2.93343,0.04564,0.0018614,0.0018614,0.0018614
9,83.9898,1.68156,2.44779,0.02709,1,0.00559,0.005,0.0015,2.11505,2.51277,0.05038,0.0018416,0.0018416,0.0018416
10,89.1357,1.62528,2.44439,0.02598,0.66667,0.05587,0.05,0.02524,2.16322,2.69039,0.05042,0.0018218,0.0018218,0.0018218
11,94.3208,1.64173,2.31656,0.02758,0.83333,0.02793,0.02333,0.01067,2.00138,2.34633,0.04948,0.001802,0.001802,0.001802
12,99.4699,1.64513,2.27116,0.02735,0.8,0.02235,0.023,0.0119,1.8228,2.37205,0.04105,0.0017822,0.0017822,0.0017822
13,104.761,1.59938,2.21508,0.02679,0.81818,0.05028,0.051,0.02043,1.86625,2.36075,0.04577,0.0017624,0.0017624,0.0017624
14,109.901,1.62931,2.15863,0.02566,0.83333,0.02793,0.02167,0.01146,1.86745,2.3978,0.04399,0.0017426,0.0017426,0.0017426
15,115.032,1.63304,2.15269,0.02697,0.91429,0.17877,0.16554,0.07285,1.7424,2.05072,0.03956,0.0017228,0.0017228,0.0017228
16,120.252,1.64893,2.03664,0.0267,1,0.09497,0.095,0.05482,1.62654,1.94534,0.036,0.001703,0.001703,0.001703
17,125.386,1.6657,2.07584,0.02659,0.84615,0.12291,0.11668,0.05604,1.91511,2.27683,0.04335,0.0016832,0.0016832,0.0016832
18,130.682,1.65425,1.98462,0.02708,0.83333,0.13966,0.12123,0.06442,1.73496,2.11004,0.04137,0.0016634,0.0016634,0.0016634
19,135.804,1.63837,2.03948,0.02645,0.84211,0.08939,0.07598,0.03991,1.78959,1.97326,0.04202,0.0016436,0.0016436,0.0016436
20,140.944,1.6206,2.00452,0.02603,0.86957,0.11173,0.10636,0.0541,1.73616,1.9947,0.03975,0.0016238,0.0016238,0.0016238
21,146.077,1.56867,1.94231,0.02513,0.94118,0.08939,0.085,0.04545,1.79176,1.9288,0.04249,0.001604,0.001604,0.001604
22,151.221,1.55222,1.90616,0.02424,0.88889,0.08939,0.08438,0.04292,1.94633,2.14093,0.0441,0.0015842,0.0015842,0.0015842
23,156.339,1.60521,1.90059,0.02548,1,0.05028,0.055,0.03921,1.83424,2.04828,0.04163,0.0015644,0.0015644,0.0015644
24,161.645,1.61599,1.93159,0.02666,0.89474,0.18994,0.17516,0.08466,1.87335,1.97957,0.04219,0.0015446,0.0015446,0.0015446
25,166.842,1.586,1.80853,0.02533,1,0.11732,0.115,0.06192,1.83445,1.78816,0.0419,0.0015248,0.0015248,0.0015248
26,171.988,1.62688,1.87707,0.02634,0.92308,0.06704,0.06115,0.04018,1.84589,1.87628,0.04124,0.001505,0.001505,0.001505
27,177.128,1.52229,1.85171,0.02453,0.76712,0.31285,0.27952,0.1266,1.78561,1.70912,0.04027,0.0014852,0.0014852,0.0014852
28,182.409,1.54376,1.80289,0.0241,0.94444,0.09497,0.09444,0.0502,1.7242,1.9683,0.03899,0.0014654,0.0014654,0.0014654
29,187.52,1.55724,1.83175,0.0253,0.88095,0.2067,0.1948,0.09593,1.72281,1.77768,0.03829,0.0014456,0.0014456,0.0014456
30,192.635,1.47548,1.74254,0.02224,0.9,0.20112,0.19338,0.10022,1.66693,1.65298,0.03779,0.0014258,0.0014258,0.0014258
31,197.727,1.54185,1.8139,0.02518,0.8,0.13408,0.12779,0.06548,1.80528,1.89932,0.0392,0.001406,0.001406,0.001406
32,202.839,1.54532,1.83215,0.02477,1,0.0838,0.085,0.04628,1.73261,1.77355,0.03874,0.0013862,0.0013862,0.0013862
33,208.085,1.51886,1.73556,0.0236,0.7,0.27374,0.2309,0.09781,1.73209,1.79378,0.03916,0.0013664,0.0013664,0.0013664
34,213.202,1.48429,1.73267,0.02399,0.79365,0.27933,0.25396,0.12363,1.77773,1.67664,0.03887,0.0013466,0.0013466,0.0013466
35,218.302,1.53567,1.72096,0.025,0.82979,0.21788,0.2064,0.11362,1.79356,1.76481,0.03944,0.0013268,0.0013268,0.0013268
36,223.444,1.46301,1.71128,0.02227,0.83721,0.20112,0.18845,0.09543,1.74838,1.67714,0.03885,0.001307,0.001307,0.001307
37,228.571,1.49626,1.78611,0.02502,0.84444,0.21229,0.20267,0.1068,1.65246,1.82787,0.03774,0.0012872,0.0012872,0.0012872
38,233.731,1.50802,1.61746,0.02351,0.71264,0.34637,0.3052,0.15792,1.80104,1.56785,0.04257,0.0012674,0.0012674,0.0012674
39,239.076,1.52128,1.62415,0.02346,0.88889,0.13408,0.1321,0.07275,1.75214,1.71492,0.04091,0.0012476,0.0012476,0.0012476
40,244.227,1.45992,1.59571,0.02326,0.9,0.15084,0.15018,0.06166,1.77514,1.91313,0.04035,0.0012278,0.0012278,0.0012278
41,249.362,1.53001,1.61607,0.02455,0.82609,0.31844,0.29707,0.1538,1.74383,1.60542,0.03783,0.001208,0.001208,0.001208
42,254.504,1.48394,1.61464,0.02324,0.925,0.2067,0.19859,0.09293,1.71352,1.65671,0.03872,0.0011882,0.0011882,0.0011882
43,259.719,1.44631,1.58832,0.02167,0.84615,0.24581,0.22914,0.11984,1.66473,1.48709,0.03648,0.0011684,0.0011684,0.0011684
44,264.869,1.40222,1.50066,0.0221,0.75758,0.27933,0.24989,0.14906,1.68735,1.62662,0.03702,0.0011486,0.0011486,0.0011486
45,270.003,1.45213,1.62244,0.02224,0.77778,0.35196,0.29877,0.13706,1.82345,1.77399,0.04374,0.0011288,0.0011288,0.0011288
46,275.159,1.43709,1.5472,0.02344,0.81538,0.29609,0.27481,0.15158,1.73154,1.53511,0.03904,0.001109,0.001109,0.001109
47,280.289,1.43019,1.56011,0.02268,0.86441,0.28492,0.27347,0.1351,1.81,1.60159,0.04112,0.0010892,0.0010892,0.0010892
48,285.602,1.38904,1.43563,0.02198,0.86316,0.4581,0.4263,0.18988,1.7339,1.38438,0.03912,0.0010694,0.0010694,0.0010694
49,290.793,1.4298,1.56108,0.02147,0.87179,0.18994,0.17939,0.08622,1.82724,1.80734,0.04119,0.0010496,0.0010496,0.0010496
50,295.947,1.41804,1.5099,0.02174,0.83607,0.28492,0.27035,0.13259,1.7399,1.48742,0.03872,0.0010298,0.0010298,0.0010298
51,301.073,1.42782,1.48055,0.02202,0.97436,0.21229,0.21474,0.10483,1.76178,1.54537,0.03803,0.00101,0.00101,0.00101
52,306.225,1.43751,1.60232,0.02163,0.84314,0.24022,0.22764,0.11566,1.73928,1.53455,0.03831,0.0009902,0.0009902,0.0009902
53,311.364,1.44242,1.57989,0.02263,0.94737,0.20112,0.20336,0.1243,1.69449,1.54459,0.0364,0.0009704,0.0009704,0.0009704
54,316.688,1.44438,1.46208,0.02303,0.85714,0.26816,0.24597,0.1459,1.64676,1.5263,0.03558,0.0009506,0.0009506,0.0009506
55,321.82,1.388,1.44607,0.02142,0.85366,0.19553,0.176,0.10715,1.70022,1.68121,0.03603,0.0009308,0.0009308,0.0009308
56,326.98,1.37591,1.39848,0.0212,0.8875,0.39665,0.376,0.18971,1.75753,1.45731,0.03731,0.000911,0.000911,0.000911
57,332.122,1.36433,1.40962,0.02098,0.875,0.31285,0.30089,0.15114,1.73701,1.46093,0.03773,0.0008912,0.0008912,0.0008912
58,337.433,1.38264,1.40967,0.02096,0.85915,0.34078,0.33125,0.15349,1.8472,1.59736,0.04124,0.0008714,0.0008714,0.0008714
59,342.575,1.40568,1.3862,0.02081,0.85542,0.39665,0.35997,0.1901,1.76682,1.46104,0.03828,0.0008516,0.0008516,0.0008516
60,347.793,1.41112,1.38053,0.02161,0.90625,0.32402,0.31277,0.17931,1.7038,1.54367,0.03573,0.0008318,0.0008318,0.0008318
61,352.939,1.34561,1.40031,0.02137,0.8375,0.3743,0.35501,0.20624,1.6627,1.31146,0.03534,0.000812,0.000812,0.000812
62,358.158,1.38635,1.38063,0.02114,0.85484,0.29609,0.26691,0.15381,1.78443,1.62381,0.03883,0.0007922,0.0007922,0.0007922
63,363.299,1.35915,1.37831,0.02041,0.81944,0.32961,0.29149,0.14452,1.75542,1.66244,0.03904,0.0007724,0.0007724,0.0007724
64,368.615,1.32987,1.35952,0.01978,0.79268,0.36313,0.32677,0.18072,1.77418,1.51056,0.03884,0.0007526,0.0007526,0.0007526
65,373.765,1.32895,1.34138,0.02003,0.79775,0.39665,0.35391,0.18179,1.76834,1.41323,0.03854,0.0007328,0.0007328,0.0007328
66,378.921,1.33984,1.36031,0.02046,0.84848,0.31285,0.29865,0.17219,1.64082,1.43736,0.0352,0.000713,0.000713,0.000713
67,384.06,1.39024,1.39233,0.02107,0.86486,0.35754,0.32663,0.16922,1.71163,1.31134,0.03712,0.0006932,0.0006932,0.0006932
68,389.216,1.28326,1.3325,0.01982,0.86905,0.40782,0.37874,0.21124,1.65354,1.47149,0.03468,0.0006734,0.0006734,0.0006734
69,394.576,1.34215,1.30549,0.02089,0.90244,0.41341,0.39524,0.20753,1.61476,1.39189,0.03384,0.0006536,0.0006536,0.0006536
70,399.734,1.34667,1.33305,0.02098,0.88372,0.42458,0.40035,0.18939,1.77838,1.26206,0.03904,0.0006338,0.0006338,0.0006338
71,404.882,1.31194,1.26984,0.02007,0.85714,0.43575,0.40455,0.21906,1.76123,1.21282,0.03707,0.000614,0.000614,0.000614
72,410.107,1.34584,1.27576,0.02057,0.84,0.46927,0.42625,0.21764,1.77819,1.22963,0.03871,0.0005942,0.0005942,0.0005942
73,415.248,1.32049,1.31606,0.02041,0.88312,0.37989,0.35476,0.19456,1.75634,1.26968,0.03833,0.0005744,0.0005744,0.0005744
74,420.564,1.29942,1.26208,0.01973,0.87209,0.41899,0.39121,0.21404,1.77665,1.30858,0.03871,0.0005546,0.0005546,0.0005546
75,425.714,1.31998,1.28601,0.01992,0.81553,0.46927,0.42364,0.22989,1.74525,1.34019,0.03807,0.0005348,0.0005348,0.0005348
76,430.937,1.31455,1.20286,0.02017,0.8125,0.43575,0.39861,0.21725,1.67556,1.31296,0.03596,0.000515,0.000515,0.000515
77,436.09,1.25961,1.2226,0.01912,0.87379,0.50279,0.4631,0.24224,1.67287,1.23679,0.03572,0.0004952,0.0004952,0.0004952
78,441.319,1.30058,1.25001,0.01935,0.86139,0.48603,0.44339,0.24205,1.7063,1.21415,0.03624,0.0004754,0.0004754,0.0004754
79,446.622,1.23934,1.21626,0.01861,0.85047,0.50838,0.47218,0.2596,1.71551,1.24708,0.03639,0.0004556,0.0004556,0.0004556
80,451.848,1.31177,1.21343,0.01901,0.85577,0.49721,0.45897,0.25054,1.68258,1.22594,0.03669,0.0004358,0.0004358,0.0004358
81,456.995,1.25131,1.19504,0.01859,0.86458,0.46369,0.43484,0.25616,1.68401,1.20414,0.03639,0.000416,0.000416,0.000416
82,462.161,1.29509,1.1359,0.01985,0.85088,0.5419,0.50849,0.27692,1.73965,1.26799,0.03767,0.0003962,0.0003962,0.0003962
83,467.368,1.307,1.19362,0.01887,0.85437,0.49162,0.46148,0.25268,1.67915,1.2881,0.03615,0.0003764,0.0003764,0.0003764
84,472.692,1.26445,1.16683,0.01906,0.89474,0.47486,0.44984,0.24813,1.70646,1.20905,0.03706,0.0003566,0.0003566,0.0003566
85,477.845,1.2662,1.12151,0.01859,0.83333,0.47486,0.44241,0.23776,1.70952,1.23165,0.037,0.0003368,0.0003368,0.0003368
86,483.016,1.28744,1.15632,0.01942,0.85185,0.51397,0.47677,0.25066,1.70196,1.22254,0.03701,0.000317,0.000317,0.000317
87,488.156,1.21739,1.15932,0.01849,0.89247,0.46369,0.43796,0.25167,1.72424,1.19762,0.03721,0.0002972,0.0002972,0.0002972
88,493.471,1.25105,1.08182,0.01907,0.83495,0.48045,0.44682,0.24703,1.6879,1.27526,0.03618,0.0002774,0.0002774,0.0002774
89,498.623,1.28232,1.13474,0.01893,0.82353,0.46927,0.42443,0.23698,1.70646,1.28504,0.03649,0.0002576,0.0002576,0.0002576
90,503.774,1.24721,1.10043,0.01925,0.84783,0.43575,0.40159,0.21798,1.74073,1.25636,0.03743,0.0002378,0.0002378,0.0002378
91,513.578,1.28658,1.07587,0.02558,0.86458,0.46369,0.42693,0.22744,1.77081,1.16208,0.0393,0.000218,0.000218,0.000218
92,518.785,1.28241,1.07278,0.02631,0.90217,0.46369,0.4465,0.2544,1.74557,1.11576,0.03762,0.0001982,0.0001982,0.0001982
93,523.932,1.24698,1.00201,0.02269,0.85417,0.4581,0.42308,0.24083,1.75399,1.21581,0.03744,0.0001784,0.0001784,0.0001784
94,529.271,1.23499,0.85965,0.0229,0.82075,0.48603,0.4444,0.25532,1.75979,1.19571,0.03782,0.0001586,0.0001586,0.0001586
95,534.425,1.21845,0.93522,0.02269,0.87273,0.53631,0.49275,0.27421,1.72798,1.13943,0.03703,0.0001388,0.0001388,0.0001388
96,539.597,1.19808,1.00131,0.02229,0.84746,0.55866,0.50928,0.2741,1.71581,1.17143,0.03647,0.000119,0.000119,0.000119
97,544.748,1.27175,0.93858,0.02362,0.82727,0.50838,0.45668,0.24293,1.74483,1.20784,0.03718,9.92e-05,9.92e-05,9.92e-05
