epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25681,1.61724,7.25557,0.02637,0,0,0,0,1.47749,10.0847,0.03197,0.00052,0.00052,0.00052
2,11.8433,1.40736,5.57578,0.02219,0,0,0,0,1.74251,9.95645,0.03909,0.00105475,0.00105475,0.00105475
3,16.9992,1.55072,4.55294,0.02388,0,0,0,0,1.92624,8.96366,0.04707,0.00158416,0.00158416,0.00158416
4,22.1767,1.64078,3.84236,0.02501,0,0,0,0,2.10013,4.55761,0.05034,0.0019703,0.0019703,0.0019703
5,27.3538,1.71861,3.21694,0.02811,0,0,0,0,1.92836,3.48558,0.04624,0.0019604,0.0019604,0.0019604
6,32.6214,1.67593,2.92278,0.02852,0,0,0,0,2.51945,3.91116,0.0595,0.0019505,0.0019505,0.0019505
7,37.7953,1.64883,2.71368,0.02717,0.36364,0.02235,0.01525,0.00817,1.859,3.23648,0.04415,0.0019406,0.0019406,0.0019406
8,43.1218,1.66432,2.58464,0.02818,0.47368,0.05028,0.04037,0.0094,2.09038,3.42139,0.05015,0.0019307,0.0019307,0.0019307
9,48.2853,1.65285,2.51962,0.02689,0.71429,0.02793,0.02214,0.01354,1.69645,2.50305,0.03931,0.0019208,0.0019208,0.0019208
10,53.4633,1.58976,2.49103,0.02496,0.41935,0.07263,0.04241,0.01094,1.94477,2.34849,0.04684,0.0019109,0.0019109,0.0019109
11,58.5476,1.61741,2.34877,0.02685,1,0.00559,0.005,0.001,1.83492,2.60195,0.04327,0.001901,0.001901,0.001901
12,63.6412,1.60077,2.30798,0.02619,0,0,0,0,1.76772,2.27774,0.04179,0.0018911,0.0018911,0.0018911
13,68.8771,1.60036,2.21894,0.02651,0,0,0,0,1.8805,2.2565,0.0452,0.0018812,0.0018812,0.0018812
