epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2538,1.74037,3.02179,1.80993,0,0,0,0,2.16373,4.79967,2.61651,0.000654088,0.000654088,0.000654088
2,29.7219,1.80706,2.72714,1.84292,0.14191,0.13408,0.03253,0.0055,2.51767,11.7044,2.71961,0.00130768,0.00130768,0.00130768
3,34.6955,1.85972,2.53685,1.84614,0.21774,0.3743,0.1532,0.03441,2.40654,22.9837,2.84312,0.00194807,0.00194807,0.00194807
4,39.7262,1.82245,2.32547,1.82972,0.42013,0.3743,0.28802,0.06879,2.04141,13.9634,2.29742,0.0019406,0.0019406,0.0019406
5,44.608,1.84242,2.32623,1.82912,0.41463,0.09497,0.04438,0.01113,2.03669,4.93675,2.17525,0.0019208,0.0019208,0.0019208
6,49.4206,1.79851,2.21403,1.79038,0.26316,0.05587,0.02012,0.00405,2.27633,3.75193,2.30485,0.001901,0.001901,0.001901
7,54.245,1.78254,2.16581,1.80382,0.63934,0.21788,0.16487,0.06168,2.11712,2.82031,2.40215,0.0018812,0.0018812,0.0018812
8,59.0483,1.73753,2.1026,1.76181,0.75,0.06704,0.05614,0.01723,1.92786,3.21733,2.05728,0.0018614,0.0018614,0.0018614
9,63.8648,1.70922,2.02802,1.71075,0.4,0.03352,0.02179,0.01126,2.00602,2.5219,1.99812,0.0018416,0.0018416,0.0018416
10,68.6656,1.71443,2.07818,1.72507,0,0,0,0,1.96811,2.33661,2.04177,0.0018218,0.0018218,0.0018218
11,73.4655,1.6556,1.99266,1.69582,0.90909,0.05587,0.05227,0.02353,1.9213,2.47336,1.96501,0.001802,0.001802,0.001802
12,78.2698,1.67422,2.01163,1.73236,0.66667,0.01117,0.01,0.00325,1.95916,2.71207,2.05316,0.0017822,0.0017822,0.0017822
13,83.0884,1.66653,1.97824,1.72248,0.92857,0.07263,0.06964,0.04529,1.90352,2.17059,2.05757,0.0017624,0.0017624,0.0017624
14,87.8896,1.65906,1.93226,1.67573,0.42857,0.01676,0.00643,0.00317,1.77596,2.31813,1.87042,0.0017426,0.0017426,0.0017426
15,92.6955,1.61138,1.95365,1.66563,0.85714,0.03352,0.03357,0.01667,1.84866,2.21556,1.91403,0.0017228,0.0017228,0.0017228
16,97.5212,1.60761,1.9134,1.6566,0.73913,0.18994,0.16528,0.08497,1.83721,2.81107,2.04213,0.001703,0.001703,0.001703
17,102.442,1.62671,1.91623,1.67333,0.76562,0.27374,0.24583,0.11115,1.75135,2.42166,1.87434,0.0016832,0.0016832,0.0016832
18,107.314,1.6226,1.90305,1.6873,0.75,0.01676,0.015,0.00617,1.78101,1.97431,1.98275,0.0016634,0.0016634,0.0016634
19,112.142,1.66674,1.93787,1.68343,0.65625,0.23464,0.17805,0.0538,1.94209,3.61253,2.03499,0.0016436,0.0016436,0.0016436
20,116.968,1.53402,1.82448,1.60686,0.79167,0.21229,0.18951,0.07719,1.84539,2.29608,1.97559,0.0016238,0.0016238,0.0016238
